,BMJD,SAP_flux,SAP_pld,SAP_pld_ramp,residual
1147,58524.6376573641,1.0018415911073009,1.0010641156762412,1.000969816984033,0.0009698169840330637
1148,58524.637816497925,1.0008761281881169,0.9999932600006762,0.9998987128108252,-0.00010128718917478751
1149,58524.63798045172,0.9999269568296498,0.9990966319224628,0.9990018284070846,-0.0009981715929153262
1150,58524.63814008226,1.0005202958304609,0.9996967328171102,0.9996016794414928,-0.0003983205585071398
1151,58524.63829925005,1.001187933205527,1.0003346443921852,1.0002393415921191,0.00023934159211910994
1152,58524.63846372321,1.0000425771902932,0.9992330691329763,0.9991375082920084,-0.000862491707991629
1153,58524.63862299289,1.000320380953897,0.9995098416084771,0.9994140305971391,-0.0005859694028609629
1154,58524.6387825555,1.000896152149018,1.0000572632255753,0.9999612012944906,-3.879870550942077e-05
1155,58524.63894669422,1.0020110132482842,1.0012621701919688,1.0011658498428844,0.0011658498428844415
1156,58524.639105865775,1.0015729909993532,1.000764684852955,1.0006681136135105,0.0006681136135104449
1157,58524.63926583076,1.0020363387153246,1.001256198199732,1.0011593745290372,0.0011593745290371556
1158,58524.63942943502,1.0007261847081017,0.9999005744725173,0.9998034923266552,-0.00019650767334474054
1159,58524.6395887613,1.0007847569772714,0.9999708905822904,0.9998735564274002,-0.00012644357259987307
1160,58524.6397491815,1.001431832749068,1.0006148433113409,1.0005172551255155,0.0005172551255153964
1161,58524.63991236452,1.000994627089573,1.0001443481111545,1.0000465012191226,4.650121912270503e-05
1162,58524.640071747395,1.0013820539292748,1.0005707767249066,1.000472676858992,0.00047267685899194826
1163,58524.640232437894,1.00158365265515,1.0007998455711318,1.000701490363428,0.0007014903634278842
1164,58524.64039526193,1.0006266522477816,0.9998308400585925,0.9997322258193407,-0.00026777418065921
1165,58524.640554554244,1.001748238690355,1.000896992447643,1.0007981245035995,0.0007981245035994214
1166,58524.64071573391,1.0016145353981405,1.0008139896035473,1.0007148646550283,0.0007148646550282759
1167,58524.64087817255,1.0014488738603253,1.0006130889464613,1.0005137046871226,0.0005137046871225703
1168,58524.64103740826,1.001604895944894,1.0007856293889545,1.0006859906405736,0.0006859906405736083
1169,58524.64119913369,1.0012119174752605,1.0003928576750492,1.000292960163445,0.0002929601634449349
1170,58524.64136094166,1.0011256036524037,1.0002925115223966,1.0001923548178495,0.00019235481784954736
1171,58524.641520384925,1.0005457238654212,0.9997343712232951,0.9996339588224874,-0.0003660411775125941
1172,58524.641682425936,1.0013213165646406,1.0004987247921509,1.000398052232921,0.00039805223292103996
1173,58524.641843765494,1.0013346890131107,1.000556827759605,1.0004558958714884,0.00045589587148832313
1174,58524.642003097426,1.000955056267904,1.0001441833245843,1.0000429950440257,4.299504402576032e-05
1175,58524.642165771016,1.0010928623195021,1.000263577208133,1.0001621268599947,0.00016212685999482949
1176,58524.64232668743,1.000635151364956,0.9998390680941971,0.999737358213221,-0.00026264178677900196
1177,58524.64248624767,1.000740167733051,0.9998687457346904,0.9997667782174329,-0.0002332217825670926
1178,58524.6426492161,1.0014053809561356,1.0005180682174881,1.0004158372620053,0.00041583726200542935
1179,58524.642809516925,1.0014551585652631,1.000635026547383,1.0005325361712012,0.0005325361712012735
1180,58524.64296895452,1.0005994219658878,0.9997800164622399,0.9996772677725069,-0.00032273222749317073
1181,58524.64313231966,1.00095525611846,1.0001047958852525,1.0000017822188914,1.7822188914187753e-06
1182,58524.64329227849,1.0006324654817838,0.9997421701637736,0.9996388967517246,-0.00036110324827544983
1183,58524.64345184628,1.0009102532164147,1.0000816968928845,0.9999781640802272,-2.183591977279193e-05
1184,58524.64361566661,1.000184876333571,0.9993598770598304,0.9992560776322162,-0.0007439223677837109
1185,58524.64377527214,1.0010672854401448,1.0002735589831908,1.000169499506635,0.0001694995066350065
1186,58524.64393529512,1.0011342357282587,1.0002185787489986,1.0001142582525187,0.00011425825251875576
1187,58524.64409850177,1.0010116903784294,1.0001841950191648,1.0000796080098042,7.960800980414683e-05
1188,58524.6442579903,1.0008732662380138,1.0000414403430848,0.9999365925998158,-6.340740018419885e-05
1189,58524.64441849114,1.000970927111432,1.000152368910855,1.000047258486732,4.725848673191069e-05
1190,58524.64458139163,1.001283218336427,1.000459074024902,1.0003536966930289,0.00035369669302880787
1191,58524.64474086507,1.0004804899141164,0.9996537962710863,0.9995481573542726,-0.00045184264572742784
1192,58524.644902007916,1.0004762009920134,0.9996615450046722,0.9995556414708289,-0.00044435852917110586
1193,58524.64506431547,1.0004333134365502,0.999605571076644,0.9994994007146765,-0.0005005992853235444
1194,58524.64522370022,0.9991692564915948,0.9983429574677007,0.9982365247910557,-0.0017634752089442738
1195,58524.645385156764,0.9998375403213025,0.9990300844476141,0.9989233857520183,-0.0010766142479816134
1196,58524.64554725816,0.9991957293241573,0.9983204278495041,0.9982134617742653,-0.0017865382257347335
1197,58524.64570661084,1.000554902176979,0.9996710088669842,0.9995637796547333,-0.000436220345266694
1198,58524.64586857353,1.001464398965755,1.0006498881950552,1.0005423912400304,0.0005423912400304117
1199,58524.64602998953,1.0006586010435345,0.9998514017380644,0.9997436376471949,-0.00025636235280510305
1200,58524.64618935166,1.00115435902332,1.0003302869342126,1.0002222588159102,0.00022225881591011
1201,58524.6463517903,1.0014459015654096,1.0005872282861217,1.0004789307460717,0.0004789307460718317
1202,58524.6465130228,1.001780217226711,1.0009958073140262,1.0008872420560204,0.0008872420560204428
1203,58524.64667245096,1.0004281274699618,0.9996303330582699,0.9995215027876485,-0.0004784972123514766
1204,58524.646835265565,0.999408531526644,0.9985918425858503,0.9984827413751076,-0.0015172586248923259
1205,58524.64699595228,0.998704773854597,0.9979345936170542,0.9978252247116519,-0.002174775288348139
1206,58524.64715546912,1.0004473863121022,0.9996641183767527,0.9995544834352073,-0.0004455165647926985
1207,58524.647318644595,1.001100886142777,1.0002602950014012,1.0001503876225997,0.0001503876225996615
1208,58524.647478727056,1.0016189332002932,1.0008241459112381,1.0007139709650277,0.0007139709650277206
1209,58524.64763817031,1.0023577082478714,1.0015381709028681,1.001427729167969,0.0014277291679690122
1210,58524.64780196514,1.0010539479922431,1.0002387378871007,1.0001280217811952,0.00012802178119513668
1211,58524.647961643335,1.001126228215367,1.0002848127685167,1.0001738288936528,0.0001738288936527099
1212,58524.648120839425,1.000338985440119,0.9995448250678083,0.9994335739438069,-0.0005664260561931117
